17:42 zinto_      : hello
17:42 Hadeway     : hey
17:43 zinto_      : popa is coming on
17:43 Hadeway     : I know, I am in a call with him
17:43 zinto_      : look at my ping says i have 1 bar ;(
17:48 Popadopaliss: oi
17:48 zinto_      : when is scavenger hunt thingy big event gonna happen
17:48 Hadeway     : no date yet but it will happen at 11AM EU time
17:48 Popadopaliss: if we done building
17:48 zinto_      : aw man
17:49 zinto_      : thats gonna be like 3 am my time
17:49 Popadopaliss: its still alot of work
17:49 zinto_      : can i borrow some cows now hade
17:49 Hadeway     : nah, we'll prop start at like 5pm eu time
17:49 Hadeway     : bo
17:49 Hadeway     : no
17:49 zinto_      : you have like 50
17:49 zinto_      : why not
17:50 zinto_      : well the cows obey me
17:50 zinto_      : i hold the wheat
17:50 zinto_      : im stuck
17:50 zinto_      : nm
17:50 Hadeway     : come
17:50 zinto_      : lol
17:52 zinto_      : why dont any animals spawn in this plains biome
17:52 zinto_      : like none
17:52 Hadeway     : I have no idea
17:52 Hadeway     : I am having the same issue
17:52 zinto_      : well i have go so bye
17:52 Hadeway     : bye
